,диагональ,ширина,высота,дисплей,марка_процессора,семейство_процессора,видеокарта,оперативная_память,память_жесткого_диска,о_с,ядра,кэш_память,макс_такт_частота,цена
0,17.3,1920,1080,3,1,6,14,16,1024,0,8,16,4.4,139999
1,17.3,1600,900,1,2,8,8,8,256,3,4,12,4.7,59999
2,17.3,1600,900,1,2,8,8,8,256,3,4,12,4.7,59999
3,16.1,1920,1080,3,1,5,12,16,512,0,6,16,4.2,89999
4,15.6,1920,1080,1,2,3,6,4,1024,0,2,4,4.1,27999
5,15.6,1920,1080,3,1,6,11,8,512,0,8,8,4.3,47999
6,15.6,1920,1080,3,1,5,11,8,512,5,6,8,4.0,46999
7,15.6,1920,1080,3,1,5,11,16,512,5,6,8,4.0,56999
8,15.6,1920,1080,3,1,5,14,16,512,0,6,16,4.5,109999
9,15.6,1920,1080,3,1,5,14,16,512,0,6,16,4.2,124999
10,15.6,1920,1080,3,1,5,14,16,512,0,6,16,4.2,124999
11,15.6,1366,768,1,2,7,9,8,512,0,4,8,4.2,52999
12,15.6,1366,768,1,2,3,6,4,1024,0,2,4,4.1,29999
13,14.2,3120,2080,4,2,8,8,16,1024,5,12,18,4.7,118999
14,14.2,3120,2080,4,2,8,8,16,1024,5,12,18,4.7,118999
15,14.2,3120,2080,4,2,8,8,16,1024,5,12,16,4.7,118999
16,14.0,2160,1440,3,1,5,11,16,512,3,6,8,4.0,67999
17,14.0,1920,1080,3,2,3,4,8,256,5,2,8,4.2,40999
18,14.0,1366,768,1,2,1,3,4,64,5,2,4,2.8,17999
